match_id,innings_number,over_number,bowler,runs_conceded,wickets,is_maiden
1075991,2,10,9d430b40,11,1,False
1075991,2,11,f2800ef3,1,2,False
1075991,2,12,7662cf7a,3,0,False
1075991,2,13,f2800ef3,1,1,False
1075991,2,14,7662cf7a,1,0,False
1075991,2,15,1777c020,2,0,False
1075991,2,16,c03449e0,5,0,False
1075992,1,0,a8e3170f,10,0,False
1075992,1,1,68ddabdb,8,0,False
1075992,1,2,a8e3170f,9,0,False
1075992,1,3,1c790f4f,8,0,False
1075992,1,4,68ddabdb,2,2,False
1075992,1,5,a8e3170f,7,0,False
1075992,1,6,9de62878,5,0,False
1075992,1,7,4329fbb5,9,0,False
1075992,1,8,9de62878,5,0,False
1075992,1,9,4329fbb5,4,1,False
1075992,1,10,9de62878,5,0,False
1075992,1,11,a3a1c7ef,13,0,False
1075992,1,12,1c790f4f,2,1,False
1075992,1,13,9de62878,4,0,False
1075992,1,14,a8e3170f,11,0,False
1075992,1,15,4329fbb5,9,1,False
1075992,1,16,68ddabdb,7,0,False
1075992,1,17,1c790f4f,11,0,False
1075992,1,18,68ddabdb,11,0,False
1075992,1,19,1c790f4f,8,0,False
1075992,2,0,eb2d5fe7,4,0,False
1075992,2,1,16dfcc19,10,0,False
1075992,2,2,eb2d5fe7,2,0,False
1075992,2,3,0f12f9df,4,0,False
1075992,2,4,eb2d5fe7,14,0,False
1075992,2,5,3086f7a4,5,1,False
1075992,2,6,486065b3,4,0,False
1075992,2,7,3086f7a4,9,1,False
1075992,2,8,486065b3,5,0,False
1075992,2,9,16dfcc19,5,0,False
1075992,2,10,486065b3,5,1,False
1075992,2,11,3086f7a4,1,0,False
1075992,2,12,486065b3,10,0,False
1075992,2,13,16dfcc19,11,0,False
1075992,2,14,0f12f9df,16,0,False
1075992,2,15,3086f7a4,3,0,False
1075992,2,16,eb2d5fe7,7,0,False
1075992,2,17,0f12f9df,16,1,False
1075992,2,18,16dfcc19,8,1,False
1075992,2,19,0f12f9df,4,0,False
1075993,1,0,e174dadd,7,0,False
1075993,1,1,9cb8d7a6,15,1,False
1075993,1,2,e174dadd,7,0,False
1075993,1,3,5af743d0,14,0,False
1075993,1,4,f0e722e0,14,0,False
1075993,1,5,5af743d0,5,1,False
1075993,1,6,6dd8b88c,2,0,False
1075993,1,7,f0e722e0,9,0,False
1075993,1,8,6dd8b88c,11,0,False
1075993,1,9,7ca5e05d,12,0,False
1075993,1,10,6dd8b88c,10,1,False
1075993,1,11,7ca5e05d,7,0,False
1075993,1,12,6dd8b88c,12,1,False
1075993,1,13,9cb8d7a6,7,0,False
1075993,1,14,5af743d0,7,0,False
1075993,1,15,e174dadd,12,0,False
1075993,1,16,f0e722e0,2,0,False
1075993,1,17,5af743d0,11,1,False
1075993,1,18,f0e722e0,10,0,False
1075993,1,19,e174dadd,4,2,False
1075993,2,0,64d43928,3,0,False
1075993,2,1,9d430b40,9,1,False
1075993,2,2,64d43928,7,0,False
1075993,2,3,1bf9a8ef,2,1,False
1075993,2,4,7662cf7a,7,0,False
1075993,2,5,1bf9a8ef,17,0,False
1075993,2,6,f2800ef3,5,0,False
1075993,2,7,9d430b40,3,0,False
1075993,2,8,c03449e0,6,0,False
1075993,2,9,7662cf7a,12,0,False
1075993,2,10,9d430b40,12,0,False
1075993,2,11,c03449e0,16,0,False
1075993,2,12,f2800ef3,13,0,False
1075993,2,13,1bf9a8ef,6,0,False
1075993,2,14,64d43928,5,1,False
1075993,2,15,7662cf7a,7,1,False
1075993,2,16,9d430b40,7,1,False
1075993,2,17,7662cf7a,8,0,False
1075993,2,18,64d43928,15,1,False
1075993,2,19,1bf9a8ef,10,1,False
1075994,1,0,3a0f6df2,11,0,False
1075994,1,1,3086f7a4,4,0,False
1075994,1,2,3a0f6df2,7,0,False
1075994,1,3,eb2d5fe7,8,0,False
1075994,1,4,3086f7a4,4,0,False
1075994,1,5,bf1d7d3e,7,1,False
1075994,1,6,486065b3,1,1,False
1075994,1,7,cad00a4d,8,1,False
