match_id,innings_number,player_hash,batting_position
1076007,2,b0c772ee,3
1076007,2,7eae4418,4
1076007,2,4329fbb5,5
1076007,2,9de62878,6
1076007,2,3241e3fd,7
1076007,2,c6a1b1bb,8
1076007,2,68ddabdb,9
1076007,2,1c790f4f,10
1076007,2,a8e3170f,11
1076008,1,ff077124,1
1076008,1,ad9c32a2,2
1076008,1,f846de6a,3
1076008,1,0dc00542,4
1076008,1,c03c6200,5
1076008,2,8a75e999,1
1076008,2,db584dad,2
1076008,2,6b71e6cf,3
1076008,2,64c34cd0,4
1076008,2,7ca5e05d,5
1076008,2,a757b0d8,6
1076008,2,9cb8d7a6,7
1076008,2,5af743d0,8
1076008,2,e174dadd,9
1076009,1,ad9c32a2,1
1076009,1,ff077124,2
1076009,1,f846de6a,3
1076009,1,9ab63e7b,4
1076009,1,fce581b5,5
1076009,1,29e253dd,6
1076009,1,c03c6200,7
1076009,1,ffe699c0,8
1076009,2,710dd98c,1
1076009,2,f8fd6e3f,2
1076009,2,72b245dd,3
1076009,2,2254ab79,4
1076009,2,556302a7,5
1076009,2,3fbb43a9,6
1076009,2,eb2d5fe7,7
1076009,2,3086f7a4,8
1076009,2,e7de4f6b,9
1076009,2,486065b3,10
1076009,2,3a0f6df2,11
1128818,1,3b041a12,1
1128818,1,ff077124,2
1128818,1,35205dfc,3
1128818,1,9ab63e7b,4
1128818,1,7cd0a092,5
1128818,1,c03c6200,6
1128818,1,57bd3ecc,7
1128818,1,ffe699c0,8
1128818,2,6b71e6cf,1
1128818,2,f8fd6e3f,2
1128818,2,b98b5e1c,3
1128818,2,64c34cd0,4
1128818,2,a757b0d8,5
1128819,1,82c78845,1
1128819,1,bdadf7da,2
1128819,1,8a75e999,3
1128819,1,c995d726,4
1128819,1,7ca5e05d,5
1128819,1,0dc00542,6
1128819,1,9cb8d7a6,7
1128819,1,2f26ac1a,8
1128819,1,1bf9a8ef,9
1128819,1,e174dadd,10
1128819,1,245c97cb,11
1128819,2,50250426,1
1128819,2,4329fbb5,2
1128819,2,3029e282,3
1128819,2,39f01cdb,4
1128819,2,cad00a4d,5
1128819,2,2254ab79,6
1128819,2,3086f7a4,7
1128819,2,486065b3,8
1128819,2,eb2d5fe7,9
1128819,2,5574750c,10
1128820,1,6b71e6cf,1
1128820,1,f8fd6e3f,2
1128820,1,b98b5e1c,3
1128820,1,64c34cd0,4
1128820,1,a757b0d8,5
1128820,1,14b14cd8,6
1128820,1,64d43928,7
1128820,2,1777c020,1
